"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D4","X_to_Y","NN_GC",0.0427,1,1,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","NN_GC",0.0738,1,1,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",9.7051,1e-04,4e-04,"Yes","Yes"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",0.3423,0.7104,0.8369,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",-0.0108,1,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.0826,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",6.0202,0.0027,0.0074,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",4.1441,0.0167,0.0573,"Yes","Yes"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",0.2867,0.9972,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",0.7968,0.6891,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",8.3987,3e-04,0.0011,"Yes","Yes"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",0.7768,0.4608,0.6356,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",2.3214,0.0031,0.0465,"Yes","Yes"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",0.6107,0.8749,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",3.5157,0.0309,0.0639,"Yes","Yes"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",0.4795,0.6195,0.7825,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.8504,0.6274,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",0.9879,0.4698,1,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",1.9559,0.1431,0.2044,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",5.4629,0.0046,0.0212,"Yes","Yes"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",13.8631,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.4904,0.9511,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",0.6429,0.5264,0.5904,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",10.1505,1e-04,0.0013,"Yes","Yes"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",0.0477,1,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.0339,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",6.6151,0.0015,0.0047,"Yes","Yes"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",0.2798,0.7561,0.8369,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",-0.0069,1,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.3484,0.9914,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",24.0268,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",1.9772,0.1401,0.2849,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",0.4539,0.9661,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",0.0294,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",0.7422,0.4769,0.5503,"No","No"
"REER","EPU","D1","Y_to_X","Linear_F",0.2953,0.7445,0.8369,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",0.0512,1,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",-0.0351,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",0.9019,0.4068,0.4903,"No","No"
"REER","EPU","D2","Y_to_X","Linear_F",1.154,0.3167,0.4936,"No","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.0724,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",0.0058,1,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",1.0174,0.3627,0.4487,"No","No"
"REER","EPU","D3","Y_to_X","Linear_F",5.7708,0.0035,0.0175,"Yes","Yes"
"REER","EPU","D3","X_to_Y","NN_GC",0.0038,1,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",0.0435,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",3.2639,0.0395,0.0752,"Yes","Yes"
"REER","EPU","D4","Y_to_X","Linear_F",1.6948,0.1853,0.353,"No","No"
"REER","EPU","D4","X_to_Y","NN_GC",0.047,1,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",0.1406,1,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",6.2026,0.0023,0.0066,"Yes","Yes"
"REER","EPU","D5","Y_to_X","Linear_F",1.3783,0.2535,0.4225,"No","No"
"REER","EPU","D5","X_to_Y","NN_GC",0.0902,1,1,"No","No"
"REER","EPU","D5","Y_to_X","NN_GC",0.313,0.9953,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",20.1077,0,0,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",11.357,0,0,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",0.2344,0.9992,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.4696,0.9601,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",0.0987,0.9061,0.9137,"No","No"
"REER","GPR","D1","Y_to_X","Linear_F",0.5704,0.5659,0.7481,"No","No"
"REER","GPR","D1","X_to_Y","NN_GC",0.0432,1,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",0.8128,0.6709,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",2.9779,0.0523,0.0937,"Yes","Yes"
"REER","GPR","D2","Y_to_X","Linear_F",1.4713,0.2312,0.3963,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",0.0559,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",1.6113,0.0647,0.9705,"Yes","No"
"REER","GPR","D3","X_to_Y","Linear_F",4.3381,0.0138,0.0312,"Yes","Yes"
"REER","GPR","D3","Y_to_X","Linear_F",0.9809,0.3761,0.5546,"No","No"
"REER","GPR","D3","X_to_Y","NN_GC",0.0148,1,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",1.6691,0.0516,0.9705,"Yes","No"
"REER","GPR","D4","X_to_Y","Linear_F",0.225,0.7987,0.8426,"No","No"
"REER","GPR","D4","Y_to_X","Linear_F",2.1553,0.1176,0.2533,"No","No"
"REER","GPR","D4","X_to_Y","NN_GC",0.024,1,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.4153,0.9782,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",8.906,2e-04,8e-04,"Yes","Yes"
"REER","GPR","D5","Y_to_X","Linear_F",3.5619,0.0295,0.086,"Yes","Yes"
"REER","GPR","D5","X_to_Y","NN_GC",0.0783,1,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",0.143,1,1,"No","No"
