"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",3.0773,0.0475,0.0934,"Yes","Yes"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",5.0356,0.007,0.028,"Yes","Yes"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",0.2422,0.999,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.0517,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",10.6833,0,0,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",0.1175,0.8892,0.8967,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",-0.0728,1,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",0.4716,0.9593,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",0.674,0.5104,0.5833,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",0.2225,0.8006,0.854,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",-0.0298,1,1,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",0.8122,0.6715,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",3.248,0.0401,0.0816,"Yes","Yes"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",1.0075,0.3663,0.5784,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.0074,1,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",1.1678,0.293,1,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",1.4642,0.2328,0.3251,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",0.1816,0.834,0.8683,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",0.0134,1,1,"No","No"
