"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D2","Y_to_X","NN_GC",0.1424,1,1,"No","No"
"Unemployment Rate","USEMV","D3","X_to_Y","Linear_F",3.0664,0.048,0.1129,"Yes","No"
"Unemployment Rate","USEMV","D3","Y_to_X","Linear_F",2.9978,0.0513,0.14,"Yes","No"
"Unemployment Rate","USEMV","D3","X_to_Y","NN_GC",-0.0052,1,1,"No","No"
"Unemployment Rate","USEMV","D3","Y_to_X","NN_GC",0.1183,1,1,"No","No"
"Unemployment Rate","USEMV","D4","X_to_Y","Linear_F",1.9445,0.1447,0.2187,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","Linear_F",0.7891,0.4551,0.658,"No","No"
"Unemployment Rate","USEMV","D4","X_to_Y","NN_GC",0,1,1,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","NN_GC",0.0807,1,1,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",1.8641,0.1567,0.2293,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",1.1113,0.3304,0.5757,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",-0.0982,1,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.068,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",45.5239,0,0,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",4.2148,0.0156,0.0693,"Yes","Yes"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",-0.0314,1,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",0.3479,0.9915,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",1.1275,0.3251,0.4195,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",1.0971,0.3351,0.5757,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",0.1956,0.9997,1,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",0.9502,0.512,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",2.8937,0.0568,0.1239,"Yes","No"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",2.0371,0.1321,0.3099,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.0066,1,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",1.0979,0.3561,1,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",2.9954,0.0514,0.1142,"Yes","No"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",2.525,0.0817,0.2042,"Yes","No"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",-0.0059,1,1,"No","No"
