"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D2","Y_to_X","NN_GC",0.1404,1,1,"No","No"
"Unemployment Rate","USEMV","D3","X_to_Y","Linear_F",2.2265,0.1096,0.2059,"No","No"
"Unemployment Rate","USEMV","D3","Y_to_X","Linear_F",1.1268,0.3254,0.55,"No","No"
"Unemployment Rate","USEMV","D3","X_to_Y","NN_GC",0.0221,1,1,"No","No"
"Unemployment Rate","USEMV","D3","Y_to_X","NN_GC",0.1181,1,1,"No","No"
"Unemployment Rate","USEMV","D4","X_to_Y","Linear_F",1.7517,0.1751,0.2878,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","Linear_F",6.008,0.0027,0.0171,"Yes","Yes"
"Unemployment Rate","USEMV","D4","X_to_Y","NN_GC",0.292,0.9969,1,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","NN_GC",0.1046,1,1,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",1.7713,0.1718,0.2863,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",1.9492,0.1441,0.304,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",0.1424,1,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.0463,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",3.4029,0.0345,0.0863,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",0.1411,0.8685,0.9305,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",0.031,1,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",0.5265,0.9326,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",0.7737,0.4622,0.5333,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",0.3639,0.6953,0.8428,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",0.1275,1,1,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",0.6719,0.8212,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",0.0503,0.9509,0.9509,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",0.1695,0.8442,0.928,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.1544,0.9999,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",1.0497,0.4039,1,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",1.6446,0.1947,0.3074,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",3.2682,0.0393,0.1304,"Yes","No"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",0.0309,1,1,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.1904,0.9998,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",7.1287,9e-04,0.004,"Yes","Yes"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",11.2143,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",0.2772,0.9977,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.0438,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",0.9339,0.3941,0.4886,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",5.9043,0.003,0.018,"Yes","Yes"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",0.0709,1,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.2564,0.9986,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",1.1294,0.3245,0.4269,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",3.1651,0.0435,0.1374,"Yes","No"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",-0.0343,1,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",-0.0413,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",1.4107,0.2455,0.3593,"No","No"
"REER","EPU","D1","Y_to_X","Linear_F",2.0438,0.1312,0.2971,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",-0.0123,1,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",-0.0312,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",2.3099,0.1009,0.1953,"No","No"
"REER","EPU","D2","Y_to_X","Linear_F",2.4692,0.0863,0.2158,"Yes","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.0017,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",0.1668,0.9999,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",5.337,0.0052,0.0182,"Yes","Yes"
"REER","EPU","D3","Y_to_X","Linear_F",3.6411,0.0273,0.1024,"Yes","No"
"REER","EPU","D3","X_to_Y","NN_GC",0.2322,0.9992,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",0.0372,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",8.3335,3e-04,0.0015,"Yes","Yes"
"REER","EPU","D4","Y_to_X","Linear_F",0.0918,0.9123,0.952,"No","No"
"REER","EPU","D4","X_to_Y","NN_GC",0.1881,0.9998,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",0.4564,0.9652,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",1.4402,0.2384,0.3576,"No","No"
"REER","EPU","D5","Y_to_X","Linear_F",0.0497,0.9515,0.9759,"No","No"
"REER","EPU","D5","X_to_Y","NN_GC",-0.0678,1,1,"No","No"
"REER","EPU","D5","Y_to_X","NN_GC",0.1037,1,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",6.0049,0.0028,0.0108,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",4.8212,0.0087,0.0435,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",0.8034,0.6817,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.4838,0.9541,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",2.991,0.0516,0.1214,"Yes","No"
"REER","GPR","D1","Y_to_X","Linear_F",0.8492,0.4287,0.6575,"No","No"
"REER","GPR","D1","X_to_Y","NN_GC",-0.0126,1,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",1.2854,0.2048,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",0.2262,0.7976,0.8323,"No","No"
"REER","GPR","D2","Y_to_X","Linear_F",1.5898,0.2056,0.3916,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",-0.0096,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",1.561,0.0783,1,"Yes","No"
"REER","GPR","D3","X_to_Y","Linear_F",0.081,0.9222,0.9447,"No","No"
"REER","GPR","D3","Y_to_X","Linear_F",1.3119,0.2708,0.485,"No","No"
"REER","GPR","D3","X_to_Y","NN_GC",0.2513,0.9987,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",0.2561,0.9986,1,"No","No"
"REER","GPR","D4","X_to_Y","Linear_F",7.4051,7e-04,0.0034,"Yes","Yes"
"REER","GPR","D4","Y_to_X","Linear_F",6.8882,0.0012,0.0096,"Yes","Yes"
"REER","GPR","D4","X_to_Y","NN_GC",0.219,0.9995,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.116,1,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",0.949,0.3882,0.4886,"No","No"
"REER","GPR","D5","Y_to_X","Linear_F",0.2726,0.7616,0.8812,"No","No"
"REER","GPR","D5","X_to_Y","NN_GC",-0.0719,1,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",-0.1003,1,1,"No","No"
"REER","GPR","D6","X_to_Y","Linear_F",1.0509,0.3508,0.4526,"No","No"
"REER","GPR","D6","Y_to_X","Linear_F",1.3373,0.264,0.485,"No","No"
"REER","GPR","D6","X_to_Y","NN_GC",0.6082,0.877,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.1456,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",3.5588,0.0296,0.0772,"Yes","Yes"
"REER","USEMV","D1","Y_to_X","Linear_F",0.6182,0.5396,0.7529,"No","No"
"REER","USEMV","D1","X_to_Y","NN_GC",-0.0165,1,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.4693,0.9602,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",1.3915,0.2502,0.3617,"No","No"
"REER","USEMV","D2","Y_to_X","Linear_F",0.3758,0.687,0.8428,"No","No"
"REER","USEMV","D2","X_to_Y","NN_GC",2e-04,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.1573,0.9999,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",2.3699,0.0951,0.1871,"Yes","No"
"REER","USEMV","D3","Y_to_X","Linear_F",2.8595,0.0588,0.1653,"Yes","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.2487,0.9988,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.118,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",13.8033,0,0,"Yes","Yes"
"REER","USEMV","D4","Y_to_X","Linear_F",3.2473,0.0402,0.1304,"Yes","No"
"REER","USEMV","D4","X_to_Y","NN_GC",0.1961,0.9997,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.035,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",1.3407,0.2631,0.3693,"No","No"
"REER","USEMV","D5","Y_to_X","Linear_F",0.866,0.4216,0.657,"No","No"
"REER","USEMV","D5","X_to_Y","NN_GC",-0.0731,1,1,"No","No"
"REER","USEMV","D5","Y_to_X","NN_GC",0.1348,1,1,"No","No"
"REER","USEMV","D6","X_to_Y","Linear_F",32.3548,0,0,"Yes","Yes"
"REER","USEMV","D6","Y_to_X","Linear_F",21.9009,0,0,"Yes","Yes"
"REER","USEMV","D6","X_to_Y","NN_GC",0.2619,0.9984,1,"No","No"
"REER","USEMV","D6","Y_to_X","NN_GC",0.3975,0.9826,1,"No","No"
"REER","USMPU","D1","X_to_Y","Linear_F",1.2126,0.2988,0.4029,"No","No"
"REER","USMPU","D1","Y_to_X","Linear_F",0.391,0.6767,0.8428,"No","No"
"REER","USMPU","D1","X_to_Y","NN_GC",-0.0198,1,1,"No","No"
"REER","USMPU","D1","Y_to_X","NN_GC",0.7414,0.7506,1,"No","No"
"REER","USMPU","D2","X_to_Y","Linear_F",3.2842,0.0387,0.0948,"Yes","Yes"
"REER","USMPU","D2","Y_to_X","Linear_F",0.0246,0.9757,0.9839,"No","No"
"REER","USMPU","D2","X_to_Y","NN_GC",-9e-04,1,1,"No","No"
"REER","USMPU","D2","Y_to_X","NN_GC",1.1559,0.3031,1,"No","No"
"REER","USMPU","D3","X_to_Y","Linear_F",2.461,0.087,0.1769,"Yes","No"
"REER","USMPU","D3","Y_to_X","Linear_F",4.0478,0.0184,0.0849,"Yes","Yes"
"REER","USMPU","D3","X_to_Y","NN_GC",0.2829,0.9974,1,"No","No"
"REER","USMPU","D3","Y_to_X","NN_GC",0.2003,0.9997,1,"No","No"
"REER","USMPU","D4","X_to_Y","Linear_F",4.5833,0.0109,0.0344,"Yes","Yes"
"REER","USMPU","D4","Y_to_X","Linear_F",3.3014,0.0381,0.1304,"Yes","No"
"REER","USMPU","D4","X_to_Y","NN_GC",0.2118,0.9996,1,"No","No"
"REER","USMPU","D4","Y_to_X","NN_GC",0.004,1,1,"No","No"
"REER","USMPU","D5","X_to_Y","Linear_F",5.3308,0.0053,0.0182,"Yes","Yes"
"REER","USMPU","D5","Y_to_X","Linear_F",3.677,0.0264,0.1022,"Yes","No"
"REER","USMPU","D5","X_to_Y","NN_GC",-0.0737,1,1,"No","No"
"REER","USMPU","D5","Y_to_X","NN_GC",0.3411,0.9924,1,"No","No"
"REER","USMPU","D6","X_to_Y","Linear_F",9.5171,1e-04,6e-04,"Yes","Yes"
"REER","USMPU","D6","Y_to_X","Linear_F",7.7599,5e-04,0.0043,"Yes","Yes"
"REER","USMPU","D6","X_to_Y","NN_GC",0.2499,0.9988,1,"No","No"
"REER","USMPU","D6","Y_to_X","NN_GC",-0.0202,1,1,"No","No"
"SIR","EPU","D1","X_to_Y","Linear_F",0.0737,0.929,0.9447,"No","No"
"SIR","EPU","D1","Y_to_X","Linear_F",0.1618,0.8507,0.928,"No","No"
"SIR","EPU","D1","X_to_Y","NN_GC",0.0926,1,1,"No","No"
