"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D4","Y_to_X","NN_GC",0.1299,1,1,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",1.6264,0.1983,0.2867,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",0.1774,0.8375,0.8761,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",0.2722,0.998,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.0765,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",3.876,0.0217,0.0577,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",2.2153,0.1108,0.2912,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",-0.0441,1,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",0.6324,0.8569,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",2.0675,0.1282,0.2167,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",0.7443,0.4759,0.6377,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",0.1346,1,1,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",1.0012,0.4553,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",2.564,0.0786,0.1474,"Yes","No"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",0.7251,0.4851,0.6377,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.5236,0.9342,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",1.6304,0.0601,1,"Yes","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",4.6657,0.0101,0.0311,"Yes","Yes"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",1.6094,0.2016,0.3972,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",0.1983,0.9997,1,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.2832,0.9974,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",6.9736,0.0011,0.0043,"Yes","Yes"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",6.6003,0.0016,0.0171,"Yes","Yes"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",0.6605,0.8319,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.0165,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",0.6963,0.4992,0.6306,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",4.5278,0.0115,0.0571,"Yes","Yes"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",0.1921,0.9998,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.3316,0.9935,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",19.5913,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",1.121,0.3272,0.5691,"No","No"
