Endogenous,Exogenous,Scale,Direction,Test,Statistic,p_value,p_value_fdr,Significant_Original,Significant_FDR
Unemployment Rate,USEMV,D5,X_to_Y,NN_GC,-0.0297,1,1,No,No
Unemployment Rate,USEMV,D5,Y_to_X,NN_GC,0.0872,1,1,No,No
Unemployment Rate,USEMV,D6,X_to_Y,Linear_F,4.9489,0.0076,0.0217,Yes,Yes
Unemployment Rate,USEMV,D6,Y_to_X,Linear_F,12.8466,0,0,Yes,Yes
Unemployment Rate,USEMV,D6,X_to_Y,NN_GC,0.2523,0.9987,1,No,No
Unemployment Rate,USEMV,D6,Y_to_X,NN_GC,0.5855,0.8943,1,No,No
Unemployment Rate,USMPU,D1,X_to_Y,Linear_F,3.4831,0.0319,0.0672,Yes,Yes
Unemployment Rate,USMPU,D1,Y_to_X,Linear_F,0.615,0.5413,0.7217,No,No
Unemployment Rate,USMPU,D1,X_to_Y,NN_GC,0.6929,0.8009,1,No,No
Unemployment Rate,USMPU,D1,Y_to_X,NN_GC,0.6088,0.8764,1,No,No
Unemployment Rate,USMPU,D2,X_to_Y,Linear_F,1.6775,0.1885,0.2908,No,No
Unemployment Rate,USMPU,D2,Y_to_X,Linear_F,2.7441,0.0658,0.1462,Yes,No
Unemployment Rate,USMPU,D2,X_to_Y,NN_GC,1.3734,0.1532,1,No,No
Unemployment Rate,USMPU,D2,Y_to_X,NN_GC,0.9044,0.5646,1,No,No
Unemployment Rate,USMPU,D3,X_to_Y,Linear_F,1.976,0.1403,0.2338,No,No
Unemployment Rate,USMPU,D3,Y_to_X,Linear_F,3.296,0.0383,0.0972,Yes,Yes
Unemployment Rate,USMPU,D3,X_to_Y,NN_GC,3.3616,0,0,Yes,Yes
Unemployment Rate,USMPU,D3,Y_to_X,NN_GC,0.4093,0.9798,1,No,No
Unemployment Rate,USMPU,D4,X_to_Y,Linear_F,0.3085,0.7348,0.8318,No,No
Unemployment Rate,USMPU,D4,Y_to_X,Linear_F,1.9498,0.144,0.2743,No,No
Unemployment Rate,USMPU,D4,X_to_Y,NN_GC,0.0213,1,1,No,No
Unemployment Rate,USMPU,D4,Y_to_X,NN_GC,0.0322,1,1,No,No
Unemployment Rate,USMPU,D5,X_to_Y,Linear_F,2.7042,0.0685,0.1265,Yes,No
Unemployment Rate,USMPU,D5,Y_to_X,Linear_F,1.1125,0.33,0.5381,No,No
Unemployment Rate,USMPU,D5,X_to_Y,NN_GC,-0.0275,1,1,No,No
Unemployment Rate,USMPU,D5,Y_to_X,NN_GC,0.355,0.9905,1,No,No
Unemployment Rate,USMPU,D6,X_to_Y,Linear_F,0.5864,0.5569,0.7035,No,No
Unemployment Rate,USMPU,D6,Y_to_X,Linear_F,0.1214,0.8857,0.9162,No,No
Unemployment Rate,USMPU,D6,X_to_Y,NN_GC,0.383,0.9857,1,No,No
Unemployment Rate,USMPU,D6,Y_to_X,NN_GC,0.0207,1,1,No,No
REER,EPU,D1,X_to_Y,Linear_F,0.0653,0.9368,0.9495,No,No
REER,EPU,D1,Y_to_X,Linear_F,0.2042,0.8154,0.8977,No,No
REER,EPU,D1,X_to_Y,NN_GC,0.0603,1,1,No,No
REER,EPU,D1,Y_to_X,NN_GC,-0.026,1,1,No,No
REER,EPU,D2,X_to_Y,Linear_F,1.5601,0.2117,0.3098,No,No
REER,EPU,D2,Y_to_X,Linear_F,3.3546,0.0362,0.0965,Yes,Yes
REER,EPU,D2,X_to_Y,NN_GC,0.0025,1,1,No,No
REER,EPU,D2,Y_to_X,NN_GC,-0.0143,1,1,No,No
REER,EPU,D3,X_to_Y,Linear_F,0.1965,0.8217,0.8726,No,No
REER,EPU,D3,Y_to_X,Linear_F,3.8144,0.0231,0.0761,Yes,Yes
REER,EPU,D3,X_to_Y,NN_GC,0.4466,0.9687,1,No,No
REER,EPU,D3,Y_to_X,NN_GC,0.0262,1,1,No,No
REER,EPU,D4,X_to_Y,Linear_F,0.38,0.6841,0.797,No,No
REER,EPU,D4,Y_to_X,Linear_F,0.4186,0.6583,0.8068,No,No
REER,EPU,D4,X_to_Y,NN_GC,0.0842,1,1,No,No
REER,EPU,D4,Y_to_X,NN_GC,-0.0186,1,1,No,No
REER,EPU,D5,X_to_Y,Linear_F,3.1651,0.0435,0.087,Yes,Yes
REER,EPU,D5,Y_to_X,Linear_F,0.9794,0.3766,0.5869,No,No
REER,EPU,D5,X_to_Y,NN_GC,1.0176,0.4376,1,No,No
REER,EPU,D5,Y_to_X,NN_GC,0.581,0.8975,1,No,No
REER,EPU,D6,X_to_Y,Linear_F,13.475,0,0,Yes,Yes
REER,EPU,D6,Y_to_X,Linear_F,16.1416,0,0,Yes,Yes
REER,EPU,D6,X_to_Y,NN_GC,-0.0543,1,1,No,No
REER,EPU,D6,Y_to_X,NN_GC,0.1159,1,1,No,No
REER,GPR,D1,X_to_Y,Linear_F,0.2254,0.7983,0.8655,No,No
REER,GPR,D1,Y_to_X,Linear_F,0.0173,0.9829,0.9847,No,No
REER,GPR,D1,X_to_Y,NN_GC,0.0468,1,1,No,No
REER,GPR,D1,Y_to_X,NN_GC,1.0444,0.4094,1,No,No
REER,GPR,D2,X_to_Y,Linear_F,0.0181,0.9821,0.9821,No,No
REER,GPR,D2,Y_to_X,Linear_F,0.5953,0.552,0.7279,No,No
REER,GPR,D2,X_to_Y,NN_GC,0.0036,1,1,No,No
REER,GPR,D2,Y_to_X,NN_GC,2.352,0.0027,0.081,Yes,Yes
REER,GPR,D3,X_to_Y,Linear_F,0.3543,0.7019,0.8099,No,No
REER,GPR,D3,Y_to_X,Linear_F,0.0855,0.9181,0.9396,No,No
REER,GPR,D3,X_to_Y,NN_GC,0.6476,0.8437,1,No,No
REER,GPR,D3,Y_to_X,NN_GC,2.2185,0.0049,0.1,Yes,No
REER,GPR,D4,X_to_Y,Linear_F,0.4422,0.643,0.7565,No,No
REER,GPR,D4,Y_to_X,Linear_F,0.0154,0.9847,0.9847,No,No
REER,GPR,D4,X_to_Y,NN_GC,0.2488,0.9988,1,No,No
REER,GPR,D4,Y_to_X,NN_GC,0.7593,0.7312,1,No,No
REER,GPR,D5,X_to_Y,Linear_F,0.672,0.5114,0.6529,No,No
REER,GPR,D5,Y_to_X,Linear_F,0.3492,0.7055,0.8382,No,No
REER,GPR,D5,X_to_Y,NN_GC,1.0755,0.3779,1,No,No
REER,GPR,D5,Y_to_X,NN_GC,0.0065,1,1,No,No
REER,GPR,D6,X_to_Y,Linear_F,0.2878,0.7501,0.8387,No,No
REER,GPR,D6,Y_to_X,Linear_F,6.8787,0.0012,0.0096,Yes,Yes
REER,GPR,D6,X_to_Y,NN_GC,-0.027,1,1,No,No
REER,GPR,D6,Y_to_X,NN_GC,-0.006,1,1,No,No
REER,USEMV,D1,X_to_Y,Linear_F,6.952,0.0011,0.0044,Yes,Yes
REER,USEMV,D1,Y_to_X,Linear_F,1.5064,0.2233,0.406,No,No
REER,USEMV,D1,X_to_Y,NN_GC,0.0462,1,1,No,No
REER,USEMV,D1,Y_to_X,NN_GC,0.4306,0.9739,1,No,No
REER,USEMV,D2,X_to_Y,Linear_F,3.5548,0.0297,0.0636,Yes,Yes
REER,USEMV,D2,Y_to_X,Linear_F,0.7434,0.4763,0.6582,No,No
REER,USEMV,D2,X_to_Y,NN_GC,-0.0072,1,1,No,No
REER,USEMV,D2,Y_to_X,NN_GC,0.1391,1,1,No,No
REER,USEMV,D3,X_to_Y,Linear_F,7.2736,8.00E-04,0.0034,Yes,Yes
REER,USEMV,D3,Y_to_X,Linear_F,0.7782,0.4601,0.6582,No,No
REER,USEMV,D3,X_to_Y,NN_GC,0.4709,0.9595,1,No,No
REER,USEMV,D3,Y_to_X,NN_GC,0.1032,1,1,No,No
REER,USEMV,D4,X_to_Y,Linear_F,2.038,0.132,0.2295,No,No
REER,USEMV,D4,Y_to_X,Linear_F,2.2059,0.1118,0.2236,No,No
REER,USEMV,D4,X_to_Y,NN_GC,0.0478,1,1,No,No
REER,USEMV,D4,Y_to_X,NN_GC,0.1251,1,1,No,No
REER,USEMV,D5,X_to_Y,Linear_F,0.4833,0.6172,0.7558,No,No
REER,USEMV,D5,Y_to_X,Linear_F,0.2593,0.7718,0.8656,No,No
REER,USEMV,D5,X_to_Y,NN_GC,1.0146,0.4408,1,No,No
REER,USEMV,D5,Y_to_X,NN_GC,0.0656,1,1,No,No
REER,USEMV,D6,X_to_Y,Linear_F,9.3706,1.00E-04,5.00E-04,Yes,Yes
REER,USEMV,D6,Y_to_X,Linear_F,13.8927,0,0,Yes,Yes
REER,USEMV,D6,X_to_Y,NN_GC,-0.0336,1,1,No,No
REER,USEMV,D6,Y_to_X,NN_GC,0.3174,0.9949,1,No,No
REER,USMPU,D1,X_to_Y,Linear_F,1.6454,0.1946,0.2908,No,No
REER,USMPU,D1,Y_to_X,Linear_F,3.3961,0.0347,0.0965,Yes,Yes
REER,USMPU,D1,X_to_Y,NN_GC,0.044,1,1,No,No
REER,USMPU,D1,Y_to_X,NN_GC,0.7049,0.7888,1,No,No
REER,USMPU,D2,X_to_Y,Linear_F,0.4731,0.6235,0.7558,No,No
REER,USMPU,D2,Y_to_X,Linear_F,3.767,0.0242,0.0761,Yes,Yes
REER,USMPU,D2,X_to_Y,NN_GC,8.00E-04,1,1,No,No
REER,USMPU,D2,Y_to_X,NN_GC,1.1013,0.3528,1,No,No
REER,USMPU,D3,X_to_Y,Linear_F,2.0093,0.1358,0.2295,No,No
REER,USMPU,D3,Y_to_X,Linear_F,1.0584,0.3482,0.5571,No,No
REER,USMPU,D3,X_to_Y,NN_GC,0.5071,0.943,1,No,No
REER,USMPU,D3,Y_to_X,NN_GC,0.2034,0.9997,1,No,No
REER,USMPU,D4,X_to_Y,Linear_F,5.4662,0.0046,0.0145,Yes,Yes
REER,USMPU,D4,Y_to_X,Linear_F,1.256,0.2862,0.477,No,No
REER,USMPU,D4,X_to_Y,NN_GC,0.2299,0.9993,1,No,No
REER,USMPU,D4,Y_to_X,NN_GC,0.0204,1,1,No,No
REER,USMPU,D5,X_to_Y,Linear_F,6.123,0.0025,0.0091,Yes,Yes
REER,USMPU,D5,Y_to_X,Linear_F,1.7038,0.1836,0.339,No,No
REER,USMPU,D5,X_to_Y,NN_GC,1.1821,0.2811,1,No,No
REER,USMPU,D5,Y_to_X,NN_GC,0.4264,0.9751,1,No,No
REER,USMPU,D6,X_to_Y,Linear_F,0.9333,0.3943,0.5377,No,No
REER,USMPU,D6,Y_to_X,Linear_F,17.1943,0,0,Yes,Yes
REER,USMPU,D6,X_to_Y,NN_GC,-0.0264,1,1,No,No
REER,USMPU,D6,Y_to_X,NN_GC,-0.0221,1,1,No,No
SIR,EPU,D1,X_to_Y,Linear_F,0.8637,0.4226,0.5698,No,No
SIR,EPU,D1,Y_to_X,Linear_F,2.2159,0.1107,0.2236,No,No
SIR,EPU,D1,X_to_Y,NN_GC,0.2481,0.9988,1,No,No
SIR,EPU,D1,Y_to_X,NN_GC,-0.0288,1,1,No,No
SIR,EPU,D2,X_to_Y,Linear_F,0.315,0.73,0.8318,No,No
SIR,EPU,D2,Y_to_X,Linear_F,3.3234,0.0373,0.0972,Yes,Yes
SIR,EPU,D2,X_to_Y,NN_GC,0.0151,1,1,No,No
SIR,EPU,D2,Y_to_X,NN_GC,0.0109,1,1,No,No
SIR,EPU,D3,X_to_Y,Linear_F,4.2057,0.0157,0.041,Yes,Yes
SIR,EPU,D3,Y_to_X,Linear_F,0.135,0.8737,0.9162,No,No
SIR,EPU,D3,X_to_Y,NN_GC,0.0057,1,1,No,No
SIR,EPU,D3,Y_to_X,NN_GC,0.0154,1,1,No,No
SIR,EPU,D4,X_to_Y,Linear_F,3.2897,0.0385,0.0783,Yes,Yes
SIR,EPU,D4,Y_to_X,Linear_F,3.6913,0.026,0.0761,Yes,Yes
SIR,EPU,D4,X_to_Y,NN_GC,0.3779,0.9867,1,No,No
SIR,EPU,D4,Y_to_X,NN_GC,-0.0399,1,1,No,No
SIR,EPU,D5,X_to_Y,Linear_F,10.0572,1.00E-04,5.00E-04,Yes,Yes
SIR,EPU,D5,Y_to_X,Linear_F,3.767,0.0242,0.0761,Yes,Yes
SIR,EPU,D5,X_to_Y,NN_GC,-0.0263,1,1,No,No
SIR,EPU,D5,Y_to_X,NN_GC,0.557,0.914,1,No,No
SIR,EPU,D6,X_to_Y,Linear_F,33.5637,0,0,Yes,Yes
SIR,EPU,D6,Y_to_X,Linear_F,2.6737,0.0705,0.1484,Yes,No
SIR,EPU,D6,X_to_Y,NN_GC,-0.0418,1,1,No,No
SIR,EPU,D6,Y_to_X,NN_GC,0.049,1,1,No,No
SIR,GPR,D1,X_to_Y,Linear_F,1.9246,0.1476,0.2394,No,No
SIR,GPR,D1,Y_to_X,Linear_F,0.7539,0.4714,0.6582,No,No
SIR,GPR,D1,X_to_Y,NN_GC,0.2094,0.9996,1,No,No
SIR,GPR,D1,Y_to_X,NN_GC,0.9916,0.4658,1,No,No
SIR,GPR,D2,X_to_Y,Linear_F,0.1166,0.89,0.9128,No,No
SIR,GPR,D2,Y_to_X,Linear_F,3.7056,0.0256,0.0761,Yes,Yes
SIR,GPR,D2,X_to_Y,NN_GC,0.0116,1,1,No,No
SIR,GPR,D2,Y_to_X,NN_GC,2.2135,0.005,0.1,Yes,No
SIR,GPR,D3,X_to_Y,Linear_F,5.3517,0.0052,0.0156,Yes,Yes
SIR,GPR,D3,Y_to_X,Linear_F,0.68,0.5074,0.6841,No,No
SIR,GPR,D3,X_to_Y,NN_GC,0.0156,1,1,No,No
SIR,GPR,D3,Y_to_X,NN_GC,1.4712,0.1089,1,No,No
SIR,GPR,D4,X_to_Y,Linear_F,7.4155,7.00E-04,0.0031,Yes,Yes
SIR,GPR,D4,Y_to_X,Linear_F,6.4532,0.0018,0.0133,Yes,Yes
SIR,GPR,D4,X_to_Y,NN_GC,0.2292,0.9993,1,No,No
SIR,GPR,D4,Y_to_X,NN_GC,0.9337,0.5308,1,No,No
SIR,GPR,D5,X_to_Y,Linear_F,10.7446,0,0,Yes,Yes
SIR,GPR,D5,Y_to_X,Linear_F,0.4178,0.6589,0.8068,No,No
SIR,GPR,D5,X_to_Y,NN_GC,-0.0112,1,1,No,No
SIR,GPR,D5,Y_to_X,NN_GC,-0.0075,1,1,No,No
SIR,GPR,D6,X_to_Y,Linear_F,17.4115,0,0,Yes,Yes
SIR,GPR,D6,Y_to_X,Linear_F,0.5583,0.5727,0.7356,No,No
SIR,GPR,D6,X_to_Y,NN_GC,-0.0593,1,1,No,No
SIR,GPR,D6,Y_to_X,NN_GC,-0.0406,1,1,No,No
SIR,USEMV,D1,X_to_Y,Linear_F,1.6565,0.1924,0.2908,No,No
SIR,USEMV,D1,Y_to_X,Linear_F,3.8574,0.0221,0.0761,Yes,Yes
SIR,USEMV,D1,X_to_Y,NN_GC,0.2101,0.9996,1,No,No
SIR,USEMV,D1,Y_to_X,NN_GC,0.4291,0.9743,1,No,No
SIR,USEMV,D2,X_to_Y,Linear_F,0.451,0.6374,0.7565,No,No
SIR,USEMV,D2,Y_to_X,Linear_F,1.3819,0.2526,0.4373,No,No
SIR,USEMV,D2,X_to_Y,NN_GC,0.0164,1,1,No,No
SIR,USEMV,D2,Y_to_X,NN_GC,0.1414,1,1,No,No
SIR,USEMV,D3,X_to_Y,Linear_F,1.2982,0.2744,0.392,No,No
SIR,USEMV,D3,Y_to_X,Linear_F,5.847,0.0032,0.0183,Yes,Yes
SIR,USEMV,D3,X_to_Y,NN_GC,0.0344,1,1,No,No
SIR,USEMV,D3,Y_to_X,NN_GC,0.0593,1,1,No,No
SIR,USEMV,D4,X_to_Y,Linear_F,10.5959,0,0,Yes,Yes
SIR,USEMV,D4,Y_to_X,Linear_F,2.6845,0.0698,0.1484,Yes,No
SIR,USEMV,D4,X_to_Y,NN_GC,0.3891,0.9845,1,No,No
SIR,USEMV,D4,Y_to_X,NN_GC,-0.0168,1,1,No,No
SIR,USEMV,D5,X_to_Y,Linear_F,10.703,0,0,Yes,Yes
SIR,USEMV,D5,Y_to_X,Linear_F,1.3721,0.2551,0.4373,No,No
SIR,USEMV,D5,X_to_Y,NN_GC,-0.0172,1,1,No,No
SIR,USEMV,D5,Y_to_X,NN_GC,0.1275,1,1,No,No
SIR,USEMV,D6,X_to_Y,Linear_F,9.9465,1.00E-04,5.00E-04,Yes,Yes
SIR,USEMV,D6,Y_to_X,Linear_F,8.5395,2.00E-04,0.0024,Yes,Yes
SIR,USEMV,D6,X_to_Y,NN_GC,-0.134,1,1,No,No
SIR,USEMV,D6,Y_to_X,NN_GC,0.6762,0.8172,1,No,No
SIR,USMPU,D1,X_to_Y,Linear_F,5.9219,0.003,0.0097,Yes,Yes
SIR,USMPU,D1,Y_to_X,Linear_F,0.3319,0.7178,0.8445,No,No
SIR,USMPU,D1,X_to_Y,NN_GC,0.2024,0.9997,1,No,No
SIR,USMPU,D1,Y_to_X,NN_GC,0.6807,0.8128,1,No,No
SIR,USMPU,D2,X_to_Y,Linear_F,0.5559,0.5741,0.7102,No,No
SIR,USMPU,D2,Y_to_X,Linear_F,5.8519,0.0032,0.0183,Yes,Yes
SIR,USMPU,D2,X_to_Y,NN_GC,0.0082,1,1,No,No
SIR,USMPU,D2,Y_to_X,NN_GC,1.0132,0.4423,1,No,No
SIR,USMPU,D3,X_to_Y,Linear_F,4.861,0.0083,0.0232,Yes,Yes
SIR,USMPU,D3,Y_to_X,Linear_F,0.7415,0.4772,0.6582,No,No
SIR,USMPU,D3,X_to_Y,NN_GC,0.0177,1,1,No,No
SIR,USMPU,D3,Y_to_X,NN_GC,0.1134,1,1,No,No
SIR,USMPU,D4,X_to_Y,Linear_F,6.0061,0.0028,0.0096,Yes,Yes
SIR,USMPU,D4,Y_to_X,Linear_F,22.2227,0,0,Yes,Yes
SIR,USMPU,D4,X_to_Y,NN_GC,0.4012,0.9818,1,No,No
SIR,USMPU,D4,Y_to_X,NN_GC,-0.0395,1,1,No,No
SIR,USMPU,D5,X_to_Y,Linear_F,16.44,0,0,Yes,Yes
SIR,USMPU,D5,Y_to_X,Linear_F,0.2184,0.8039,0.8932,No,No
SIR,USMPU,D5,X_to_Y,NN_GC,-0.0295,1,1,No,No
SIR,USMPU,D5,Y_to_X,NN_GC,0.4825,0.9546,1,No,No
SIR,USMPU,D6,X_to_Y,Linear_F,42.5286,0,0,Yes,Yes
SIR,USMPU,D6,Y_to_X,Linear_F,0.7186,0.4882,0.6657,No,No
SIR,USMPU,D6,X_to_Y,NN_GC,-0.0879,1,1,No,No
SIR,USMPU,D6,Y_to_X,NN_GC,0.0137,1,1,No,No
Oil Price (WTI),EPU,D1,X_to_Y,Linear_F,2.1918,0.1134,0.2001,No,No
Oil Price (WTI),EPU,D1,Y_to_X,Linear_F,0.1252,0.8824,0.9162,No,No
Oil Price (WTI),EPU,D1,X_to_Y,NN_GC,0.0749,1,1,No,No
Oil Price (WTI),EPU,D1,Y_to_X,NN_GC,-0.0284,1,1,No,No
Oil Price (WTI),EPU,D2,X_to_Y,Linear_F,2.7676,0.0643,0.1225,Yes,No
Oil Price (WTI),EPU,D2,Y_to_X,Linear_F,2.9407,0.0543,0.1229,Yes,No
Oil Price (WTI),EPU,D2,X_to_Y,NN_GC,0.1097,1,1,No,No
Oil Price (WTI),EPU,D2,Y_to_X,NN_GC,3.00E-04,1,1,No,No
Oil Price (WTI),EPU,D3,X_to_Y,Linear_F,3.8567,0.0221,0.052,Yes,Yes
Oil Price (WTI),EPU,D3,Y_to_X,Linear_F,0.8357,0.4345,0.6518,No,No
Oil Price (WTI),EPU,D3,X_to_Y,NN_GC,-0.051,1,1,No,No
Oil Price (WTI),EPU,D3,Y_to_X,NN_GC,0.0198,1,1,No,No
Oil Price (WTI),EPU,D4,X_to_Y,Linear_F,4.1154,0.0172,0.0439,Yes,Yes
Oil Price (WTI),EPU,D4,Y_to_X,Linear_F,4.4183,0.0128,0.0512,Yes,Yes
Oil Price (WTI),EPU,D4,X_to_Y,NN_GC,-0.0039,1,1,No,No
Oil Price (WTI),EPU,D4,Y_to_X,NN_GC,-0.0208,1,1,No,No
Oil Price (WTI),EPU,D5,X_to_Y,Linear_F,3.8164,0.023,0.0531,Yes,Yes
Oil Price (WTI),EPU,D5,Y_to_X,Linear_F,2.0583,0.1294,0.2506,No,No
Oil Price (WTI),EPU,D5,X_to_Y,NN_GC,0.0953,1,1,No,No
Oil Price (WTI),EPU,D5,Y_to_X,NN_GC,0.6143,0.8721,1,No,No
