"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USEMV","D3","X_to_Y","Linear_F",4.5711,0.011,0.0392,"Yes","Yes"
"Unemployment Rate","USEMV","D3","Y_to_X","Linear_F",6.2436,0.0022,0.0126,"Yes","Yes"
"Unemployment Rate","USEMV","D3","X_to_Y","NN_GC",0.0015,1,1,"No","No"
"Unemployment Rate","USEMV","D3","Y_to_X","NN_GC",0.0999,1,1,"No","No"
"Unemployment Rate","USEMV","D4","X_to_Y","Linear_F",6.9343,0.0011,0.0057,"Yes","Yes"
"Unemployment Rate","USEMV","D4","Y_to_X","Linear_F",0.3225,0.7246,0.8565,"No","No"
"Unemployment Rate","USEMV","D4","X_to_Y","NN_GC",0.1141,1,1,"No","No"
"Unemployment Rate","USEMV","D4","Y_to_X","NN_GC",0.0847,1,1,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","Linear_F",1.0209,0.3615,0.466,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","Linear_F",0.0497,0.9515,0.9676,"No","No"
"Unemployment Rate","USEMV","D5","X_to_Y","NN_GC",-0.0522,1,1,"No","No"
"Unemployment Rate","USEMV","D5","Y_to_X","NN_GC",0.0863,1,1,"No","No"
"Unemployment Rate","USEMV","D6","X_to_Y","Linear_F",34.9687,0,0,"Yes","Yes"
"Unemployment Rate","USEMV","D6","Y_to_X","Linear_F",5.5637,0.0042,0.0219,"Yes","Yes"
"Unemployment Rate","USEMV","D6","X_to_Y","NN_GC",1.1507,0.3076,1,"No","No"
"Unemployment Rate","USEMV","D6","Y_to_X","NN_GC",1.3573,0.1619,1,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","Linear_F",4.0645,0.0181,0.0587,"Yes","Yes"
"Unemployment Rate","USMPU","D1","Y_to_X","Linear_F",1.6502,0.1936,0.3747,"No","No"
"Unemployment Rate","USMPU","D1","X_to_Y","NN_GC",-0.0281,1,1,"No","No"
"Unemployment Rate","USMPU","D1","Y_to_X","NN_GC",0.7889,0.6982,1,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","Linear_F",2.071,0.1277,0.2287,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","Linear_F",0.279,0.7568,0.8565,"No","No"
"Unemployment Rate","USMPU","D2","X_to_Y","NN_GC",0.01,1,1,"No","No"
"Unemployment Rate","USMPU","D2","Y_to_X","NN_GC",1.1726,0.2889,1,"No","No"
"Unemployment Rate","USMPU","D3","X_to_Y","Linear_F",1.034,0.3568,0.4654,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","Linear_F",4.2631,0.0149,0.0542,"Yes","Yes"
"Unemployment Rate","USMPU","D3","X_to_Y","NN_GC",0.0028,1,1,"No","No"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.1918,0.9998,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",3.4897,0.0317,0.0865,"Yes","Yes"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",0.5305,0.5888,0.7597,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",0.1001,1,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.0251,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",1.9014,0.151,0.2552,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",0.3747,0.6878,0.8422,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",-0.0544,1,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.3499,0.9912,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",12.9469,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",18.1152,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",1.0357,0.4185,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",0.0235,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",1.0112,0.365,0.466,"No","No"
"REER","EPU","D1","Y_to_X","Linear_F",1.3704,0.2555,0.4607,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",0.0665,1,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",0.1028,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",0.6291,0.5337,0.593,"No","No"
"REER","EPU","D2","Y_to_X","Linear_F",0.5877,0.5562,0.7468,"No","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.0288,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",-0.0102,1,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",3.0848,0.0471,0.1087,"Yes","No"
"REER","EPU","D3","Y_to_X","Linear_F",0.0257,0.9747,0.9829,"No","No"
"REER","EPU","D3","X_to_Y","NN_GC",0.0968,1,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",0.0104,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",0.24,0.7868,0.8001,"No","No"
"REER","EPU","D4","Y_to_X","Linear_F",0.2723,0.7618,0.8565,"No","No"
"REER","EPU","D4","X_to_Y","NN_GC",-0.0279,1,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",-0.0436,1,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",4.6351,0.0104,0.0392,"Yes","Yes"
"REER","EPU","D5","Y_to_X","Linear_F",18.9888,0,0,"Yes","Yes"
"REER","EPU","D5","X_to_Y","NN_GC",-0.0189,1,1,"No","No"
"REER","EPU","D5","Y_to_X","NN_GC",-0.0174,1,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",50.2274,0,0,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",47.568,0,0,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",0.0595,1,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.7568,0.7339,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",2.9769,0.0524,0.1164,"Yes","No"
"REER","GPR","D1","Y_to_X","Linear_F",0.1162,0.8903,0.9308,"No","No"
"REER","GPR","D1","X_to_Y","NN_GC",0.0609,1,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",0.7353,0.7572,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",2.3215,0.0998,0.1851,"Yes","No"
"REER","GPR","D2","Y_to_X","Linear_F",0.6536,0.5209,0.7103,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",0.0215,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",1.4908,0.1015,1,"No","No"
"REER","GPR","D3","X_to_Y","Linear_F",2.4026,0.0921,0.1783,"Yes","No"
"REER","GPR","D3","Y_to_X","Linear_F",0.1144,0.892,0.9308,"No","No"
"REER","GPR","D3","X_to_Y","NN_GC",0.0515,1,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",0.6185,0.8686,1,"No","No"
"REER","GPR","D4","X_to_Y","Linear_F",3.9438,0.0203,0.0624,"Yes","Yes"
"REER","GPR","D4","Y_to_X","Linear_F",0.5327,0.5875,0.7597,"No","No"
"REER","GPR","D4","X_to_Y","NN_GC",-0.0296,1,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.0662,1,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",1.8265,0.1626,0.2602,"No","No"
"REER","GPR","D5","Y_to_X","Linear_F",2.501,0.0836,0.2047,"Yes","No"
"REER","GPR","D5","X_to_Y","NN_GC",0.0174,1,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",0.0179,1,1,"No","No"
"REER","GPR","D6","X_to_Y","Linear_F",71.2196,0,0,"Yes","Yes"
"REER","GPR","D6","Y_to_X","Linear_F",10.9319,0,0,"Yes","Yes"
"REER","GPR","D6","X_to_Y","NN_GC",0.107,1,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.0185,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",5.9609,0.0029,0.0129,"Yes","Yes"
"REER","USEMV","D1","Y_to_X","Linear_F",5.3268,0.0053,0.0249,"Yes","Yes"
"REER","USEMV","D1","X_to_Y","NN_GC",0.0625,1,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.4592,0.9641,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",3.1239,0.0453,0.1087,"Yes","No"
"REER","USEMV","D2","Y_to_X","Linear_F",4.3324,0.0139,0.0521,"Yes","Yes"
"REER","USEMV","D2","X_to_Y","NN_GC",0.0297,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.1624,0.9999,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",4.5642,0.0111,0.0392,"Yes","Yes"
"REER","USEMV","D3","Y_to_X","Linear_F",0.0028,0.9972,0.9972,"No","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.097,1,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.117,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",1.8536,0.1583,0.2602,"No","No"
"REER","USEMV","D4","Y_to_X","Linear_F",1.9942,0.1378,0.2872,"No","No"
"REER","USEMV","D4","X_to_Y","NN_GC",-0.0223,1,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.076,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",8.3598,3e-04,0.0018,"Yes","Yes"
"REER","USEMV","D5","Y_to_X","Linear_F",7.0288,0.001,0.0075,"Yes","Yes"
"REER","USEMV","D5","X_to_Y","NN_GC",-0.0213,1,1,"No","No"
"REER","USEMV","D5","Y_to_X","NN_GC",0.0487,1,1,"No","No"
"REER","USEMV","D6","X_to_Y","Linear_F",17.381,0,0,"Yes","Yes"
"REER","USEMV","D6","Y_to_X","Linear_F",14.4732,0,0,"Yes","Yes"
"REER","USEMV","D6","X_to_Y","NN_GC",0.0507,1,1,"No","No"
"REER","USEMV","D6","Y_to_X","NN_GC",0.6565,0.8356,1,"No","No"
"REER","USMPU","D1","X_to_Y","Linear_F",3.3608,0.0359,0.0937,"Yes","Yes"
"REER","USMPU","D1","Y_to_X","Linear_F",1.1778,0.3093,0.521,"No","No"
"REER","USMPU","D1","X_to_Y","NN_GC",0.0582,1,1,"No","No"
"REER","USMPU","D1","Y_to_X","NN_GC",0.7166,0.7768,1,"No","No"
"REER","USMPU","D2","X_to_Y","Linear_F",0.4416,0.6434,0.6956,"No","No"
"REER","USMPU","D2","Y_to_X","Linear_F",0.9723,0.3793,0.5828,"No","No"
"REER","USMPU","D2","X_to_Y","NN_GC",0.0271,1,1,"No","No"
"REER","USMPU","D2","Y_to_X","NN_GC",1.1681,0.2927,1,"No","No"
"REER","USMPU","D3","X_to_Y","Linear_F",3.4079,0.0343,0.0915,"Yes","Yes"
"REER","USMPU","D3","Y_to_X","Linear_F",0.8653,0.4219,0.61,"No","No"
"REER","USMPU","D3","X_to_Y","NN_GC",0.08,1,1,"No","No"
"REER","USMPU","D3","Y_to_X","NN_GC",0.1682,0.9999,1,"No","No"
"REER","USMPU","D4","X_to_Y","Linear_F",1.407,0.2464,0.3438,"No","No"
"REER","USMPU","D4","Y_to_X","Linear_F",1.3637,0.2572,0.4607,"No","No"
"REER","USMPU","D4","X_to_Y","NN_GC",-0.0237,1,1,"No","No"
"REER","USMPU","D4","Y_to_X","NN_GC",0.0271,1,1,"No","No"
"REER","USMPU","D5","X_to_Y","Linear_F",2.3148,0.1004,0.1851,"No","No"
"REER","USMPU","D5","Y_to_X","Linear_F",0.355,0.7015,0.8503,"No","No"
"REER","USMPU","D5","X_to_Y","NN_GC",-0.0251,1,1,"No","No"
"REER","USMPU","D5","Y_to_X","NN_GC",0.301,0.9963,1,"No","No"
"REER","USMPU","D6","X_to_Y","Linear_F",90.8551,0,0,"Yes","Yes"
"REER","USMPU","D6","Y_to_X","Linear_F",8.5728,2e-04,0.002,"Yes","Yes"
"REER","USMPU","D6","X_to_Y","NN_GC",0.1345,1,1,"No","No"
"REER","USMPU","D6","Y_to_X","NN_GC",0.0418,1,1,"No","No"
"SIR","EPU","D1","X_to_Y","Linear_F",1.4754,0.2302,0.3328,"No","No"
